occ,delta_e_2023,delta_DAIOE_2023,pctl_new_2023
25-1054.00,0.5735227352464797,0.32892832784460363,92.43523316062176
25-1061.00,0.6027991079957795,0.36336676460050743,97.61658031088083
25-1062.00,0.6105437493898603,0.3727636699190286,98.44559585492227
25-1063.00,0.5682280480583414,0.3228831146001927,90.15544041450777
25-1064.00,0.6020672650200848,0.362484991608765,97.40932642487047
25-1065.00,0.6115815071263517,0.3740319398589398,98.65284974093264
25-1066.00,0.6036403455186604,0.36438166673788774,97.92746113989638
25-1067.00,0.62687682507785,0.3929745538196854,99.79274611398964
25-1071.00,0.5973289489898406,0.3568018733013076,97.09844559585493
25-1072.00,0.517446267686876,0.2677506399430781,71.60621761658031
25-1081.00,0.5975108052146969,0.3570191623483155,97.20207253886011
25-1082.00,0.6076397324394547,0.36922604443909207,98.13471502590673
25-1111.00,0.6153017426304623,0.3785962344840837,99.17098445595855
25-1112.00,0.6330763735318461,0.40078569472423353,99.89637305699482
25-1113.00,0.6110796653966906,0.3734183574613313,98.54922279792746
25-1121.00,0.5462834924558865,0.2984256541298006,81.34715025906736
25-1122.00,0.6056144431342896,0.36676885373285567,98.03108808290155
25-1123.00,0.6333520918319812,0.4011348722279463,100.0
25-1124.00,0.609239770598965,0.37117309807947946,98.23834196891191
25-1125.00,0.6184575291518747,0.38248971536464194,99.37823834196891
25-1126.00,0.6032776867869722,0.3639439673750402,97.72020725388602
25-1191.00,0.5734982079754014,0.3289001945509968,92.33160621761658
25-1192.00,0.5730068661496176,0.32833686865460576,91.81347150259067
25-1193.00,0.5518741893805165,0.30456512090440213,83.41968911917098
25-1194.00,0.47427010563553357,0.22493213309954016,61.76165803108808
25-2011.00,0.4428147394154345,0.19608489344355914,55.129533678756474
25-2012.00,0.5164094114061624,0.26667868018885904,71.29533678756476
25-2021.00,0.5352680460615993,0.28651188113460235,77.09844559585493
25-2022.00,0.5492923146980246,0.3017220469863137,82.27979274611398
25-2023.00,0.45314233087564515,0.20533797203141266,57.72020725388601
25-2031.00,0.5416005251547321,0.2933311288478816,79.68911917098445
25-2032.00,0.45701870233038266,0.20886609427974692,58.54922279792746
25-2052.00,0.5159880525457667,0.26624367036997293,70.98445595854922
25-2053.00,0.5632610106196844,0.3172629660843082,88.29015544041451
25-2054.00,0.527469909494433,0.2782245054220653,74.4041450777202
25-2059.01,0.37432708398809833,0.1401207658070328,42.590673575129536
25-3011.00,0.562221292963532,0.31609278226158566,87.35751295336787
25-3021.00,0.4557912556288689,0.20774566870774092,58.23834196891192
25-3099.02,0.5747936172665455,0.33038770245036003,92.53886010362694
25-4011.00,0.5146300565528297,0.2648440951075687,70.67357512953367
25-4012.00,0.4955941217597105,0.24561353352277876,66.6321243523316
25-4013.00,0.39273276652767775,0.15423902590448343,45.69948186528497
25-4021.00,0.5410529606336065,0.292738306210391,79.17098445595855
25-4031.00,0.3954869065494472,0.15640989325205118,46.01036269430052
25-9011.00,0.40908515300794307,0.16735066241153218,49.32642487046632
25-9021.00,0.5016556796119681,0.2516584208869456,68.49740932642487
25-9031.00,0.5669686027330569,0.3214533964850749,89.84455958549223
25-9031.01,0.5701400466682639,0.3250596728148901,90.56994818652849
25-9041.00,0.482316374050184,0.232629084676917,63.3160621761658
27-1011.00,0.5064513448834512,0.2564929647342565,69.11917098445596
27-1012.00,0.2844481003822205,0.0809107218110538,24.559585492227978
27-1013.00,0.3261378314690968,0.10636588511536499,34.30051813471503
27-1014.00,0.4590584230907286,0.21073463581054638,58.96373056994819
27-1021.00,0.49720788025747287,0.2472156761901295,67.04663212435233
27-1022.00,0.4799059872606647,0.23030975660863326,63.005181347150256
27-1023.00,0.3640049734598131,0.13249962070347923,40.62176165803109
27-1024.00,0.4709041310972596,0.22175070068446504,61.03626943005181
27-1025.00,0.5087014755469437,0.25877719122363774,69.53367875647669
27-1026.00,0.30795533460677915,0.09483648811277332,31.295336787564768
27-1027.00,0.4048546227780161,0.1639072655847297,48.18652849740933
27-2011.00,0.4562121739465379,0.20812954765702615,58.44559585492228
27-2012.01,0.5161336859186384,0.26639398173995965,71.19170984455958
27-2012.02,0.5182935046457973,0.26862815695802306,72.02072538860104
27-2012.03,0.536682863968428,0.28802849647735423,77.51295336787565
27-2012.04,0.5640911589036128,0.318198835553221,88.49740932642487
27-2012.05,0.4931051105933311,0.2431526500932613,66.01036269430051
27-2021.00,0.2267419972402654,0.051411933312504515,9.430051813471502
27-2022.00,0.4436326180018699,0.19680989975519306,55.233160621761655
27-2023.00,0.36955756745860885,0.13657279566592423,41.45077720207254
27-2031.00,0.1765245784102568,0.0311609267829189,1.6580310880829014
27-2032.00,0.30437668144918034,0.0926451642100158,30.466321243523318
27-2041.01,0.48416112582719906,0.23441199576226088,63.83419689119171
