occ,delta_e_2023,delta_DAIOE_2023,DAIOE_2023,pctl_2023
51-8013.00,0.3399430702374494,0.11556129100246346,1.7172005586594028,40.72538860103627
51-8021.00,0.31117817623727245,0.096831857366355,1.6179138811764782,34.715025906735754
51-8031.00,0.2972285303880563,0.08834479927664371,1.4905058858124738,27.357512953367877
51-8091.00,0.32912183354933044,0.10832118131887318,1.6453132005141435,36.26943005181347
51-8092.00,0.32612976389308285,0.10636062289695797,1.7212918864362197,40.932642487046635
51-8093.00,0.3265307536128852,0.10662233305499874,1.6953300001755156,38.75647668393783
51-8099.01,0.29299557725878855,0.08584640829321073,1.4361343644043663,23.316062176165804
51-8099.03,0.2786075209905765,0.07762215075251452,1.5890392217743605,33.056994818652846
51-8099.04,0.308393266571673,0.09510640686674696,1.4629557710050436,24.974093264248705
51-9011.00,0.3149288500322844,0.09918018058265707,1.6422123634920096,36.16580310880829
51-9012.00,0.2547052703165796,0.06487477472704188,1.3472910836961878,15.751295336787564
51-9021.00,0.2491961592100478,0.0620987257650395,1.3407468960954845,15.336787564766839
51-9022.00,0.22836333134998796,0.05214981110526439,1.4113202607060855,21.45077720207254
51-9023.00,0.2639696713908286,0.06967998741418203,1.4805180838782195,26.528497409326423
51-9031.00,0.2359053963515121,0.05565135602776401,1.4960266939057687,27.7720207253886
51-9032.00,0.24551038149109783,0.06027534741990439,1.4765877154795084,26.21761658031088
51-9041.00,0.25077085630047313,0.06288602236967254,1.461615826582674,24.76683937823834
51-9051.00,0.26544655787613614,0.0704618750882889,1.3047646773339587,13.264248704663212
51-9061.00,0.37141167966979594,0.1379466357951391,1.8810433416816112,48.18652849740933
51-9071.01,0.30170935455433084,0.09102853462559092,2.0691673514275544,58.3419689119171
51-9071.06,0.3103004014480555,0.0962863391388244,2.064684851533001,58.031088082901555
51-9071.07,0.3156018340909023,0.09960451768154142,2.0890437525886987,59.689119170984455
51-9081.00,0.3275407752091054,0.10728295942458171,2.121863292528685,61.865284974093264
51-9082.00,0.3271884720082351,0.10705229621508364,1.6900694563118341,38.54922279792746
51-9083.00,0.2609655548999358,0.0681030208442314,1.8032679389760493,44.4559585492228
51-9111.00,0.253807375967119,0.0644181840953145,1.405549943627443,21.34715025906736
51-9121.00,0.230114659702805,0.05295275661013775,1.3523240001425483,16.580310880829014
51-9122.00,0.1887660463950695,0.03563262027162553,1.2430233990092734,9.740932642487047
51-9123.00,0.19536904217560144,0.038169062640611935,1.3668262272595049,17.409326424870468
51-9141.00,0.29198150495268654,0.08525319923443572,1.6174154927182822,34.50777202072539
51-9151.00,0.3317007245473041,0.1100253706652065,1.755036594613394,42.7979274611399
51-9191.00,0.22863471991051448,0.052273835148559405,1.256432731453132,10.77720207253886
51-9192.00,0.2317087848703971,0.05368896098611596,1.270418504636929,11.50259067357513
51-9193.00,0.2565738610344903,0.06583014616614595,1.3719945247505476,18.54922279792746
51-9194.00,0.28309857033847247,0.08014480052768705,1.663626608972036,37.409326424870464
51-9195.03,0.2250980976442185,0.05066915356304613,1.2913796188433448,12.642487046632125
51-9195.04,0.2481086587235707,0.061557906533609284,1.6222824153372701,35.02590673575129
51-9195.05,0.23726982688906315,0.05629697075196599,1.5896924529579204,33.16062176165803
51-9195.07,0.22566896094746414,0.05092647993510809,1.210020835108743,8.601036269430052
