occ,exposure_A,exposure_B,social_share,pctl_A,pctl_B,occ_title_onetsoc2010,daioe_allapps,pctl_rank_allapps,corr_A_vs_DAIOE,corr_B_vs_DAIOE
31-9092.00,19.94351757053412,14.948589999118916,0.16707019095813078,40.51813471502591,33.26424870466321,Medical Assistants,31.077095,47.049999,0.21563178692020205,0.19664967078260237
13-1141.00,19.938869947090037,15.083503844379797,0.16094954305061485,40.41450777202073,34.40414507772021,"Compensation, Benefits, and Job Analysis Specialists",42.73851,88.150002,0.21563178692020205,0.19664967078260237
27-2021.00,19.87890398245374,15.307091380828904,0.14933642479428588,40.310880829015545,37.09844559585492,Athletes and Sports Competitors,18.680368,0.25999999,0.21563178692020205,0.19664967078260237
51-7011.00,19.82619851495622,17.78404327157931,0.05741538108604581,40.20725388601036,55.02590673575129,Cabinetmakers and Bench Carpenters,26.590015,19.0,0.21563178692020205,0.19664967078260237
49-2097.00,19.81758061650502,16.39812649201173,0.10426356102811685,40.10362694300518,44.97409326424871,Electronic Home Entertainment Equipment Installers and Repairers,30.697939,45.599998,0.21563178692020205,0.19664967078260237
47-5042.00,19.797213212334512,16.738434444721804,0.09136991806833059,40.0,47.35751295336787,Mine Cutting and Channeling Machine Operators,23.913181,6.1599998,0.21563178692020205,0.19664967078260237
51-4191.00,19.730369348783647,17.284280312041247,0.07076051164937171,39.89637305699482,51.398963730569946,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",26.087885,16.200001,0.21563178692020205,0.19664967078260237
25-1065.00,19.706331811065425,14.643576617775514,0.17286607382326072,39.79274611398964,31.917098445595855,"Political Science Teachers, Postsecondary",39.91988,79.760002,0.21563178692020205,0.19664967078260237
29-2081.00,19.69808989838747,15.13669697672491,0.15067332485668533,39.689119170984455,35.02590673575129,"Opticians, Dispensing",31.777987,50.049999,0.21563178692020205,0.19664967078260237
51-7031.00,19.687265353996658,17.138457571565425,0.07435931068441029,39.58549222797927,50.259067357512954,"Model Makers, Wood",30.270042,42.080002,0.21563178692020205,0.19664967078260237
45-3011.00,19.67938889321544,16.682933449324192,0.08980601202400143,39.48186528497409,47.04663212435233,Fishers and Related Fishing Workers,22.539007,3.05,0.21563178692020205,0.19664967078260237
11-9141.00,19.667825896565294,13.697502874650354,0.21793472418115256,39.37823834196891,26.21761658031088,"Property, Real Estate, and Community Association Managers",37.028614,69.0,0.21563178692020205,0.19664967078260237
25-1067.00,19.632102748412287,14.190037634508712,0.19175654265599096,39.27461139896373,28.39378238341969,"Sociology Teachers, Postsecondary",38.533119,74.279999,0.21563178692020205,0.19664967078260237
51-2011.00,19.621920691364664,16.803412829755352,0.08386712539188232,39.170984455958546,47.87564766839378,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",28.941404,33.18,0.21563178692020205,0.19664967078260237
41-3031.02,19.614150626097658,13.863735999887073,0.2073905124223884,39.067357512953365,27.150259067357513,"Sales Agents, Financial Services",37.338501,70.029999,0.21563178692020205,0.19664967078260237
29-2099.05,19.570371042738863,15.323965211516018,0.1385544071854083,38.96373056994819,37.30569948186528,Ophthalmic Medical Technologists,32.307045,52.540001,0.21563178692020205,0.19664967078260237
17-3013.00,19.563477957405837,16.24523206217176,0.10212983977498423,38.86010362694301,43.83419689119171,Mechanical Drafters,45.396465,95.699997,0.21563178692020205,0.19664967078260237
41-3099.01,19.55270351439584,14.825712927632155,0.15941866033145433,38.75647668393783,32.74611398963731,Energy Brokers,41.548126,85.870003,0.21563178692020205,0.19664967078260237
41-3021.00,19.544759883162943,14.052872218198763,0.19540089668829663,38.652849740932645,27.7720207253886,Insurance Sales Agents,38.092216,73.029999,0.21563178692020205,0.19664967078260237
53-7071.00,19.518687881916968,17.0859798318165,0.07119018265403852,38.54922279792746,49.94818652849741,Gas Compressor and Gas Pumping Station Operators,29.885506,39.290001,0.21563178692020205,0.19664967078260237
45-4011.00,19.493807957513166,15.92539281232613,0.11203538861613221,38.44559585492228,41.03626943005181,Forest and Conservation Workers,25.374483,12.78,0.21563178692020205,0.19664967078260237
53-7041.00,19.48927984464972,16.13701409698969,0.1038688361896326,38.3419689119171,43.005181347150256,Hoist and Winch Operators,24.997942,11.02,0.21563178692020205,0.19664967078260237
19-3093.00,19.48045076856933,15.477710414191243,0.1293066043769641,38.23834196891192,38.652849740932645,Historians,44.115891,92.18,0.21563178692020205,0.19664967078260237
25-3099.02,19.470527722988102,13.784467211309408,0.20624883154764184,38.134715025906736,26.735751295336787,Tutors,36.961662,68.690002,0.21563178692020205,0.19664967078260237
51-9012.00,19.4208310148837,16.774166477246933,0.07889108949844982,38.031088082901555,47.66839378238342,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",26.94455,21.17,0.21563178692020205,0.19664967078260237
39-2011.00,19.418267703996737,15.098359313406965,0.14305886821602531,37.92746113989637,34.50777202072539,Animal Trainers,25.331345,12.37,0.21563178692020205,0.19664967078260237
27-4013.00,19.40694036767066,16.069881638302352,0.10382959888809862,37.82383419689119,42.69430051813472,Radio Operators,39.80006,79.349998,0.21563178692020205,0.19664967078260237
53-3041.00,19.38396538974345,16.477379968328822,0.08819925943934591,37.72020725388601,45.38860103626943,Taxi Drivers and Chauffeurs,26.745564,19.719999,0.21563178692020205,0.19664967078260237
15-1133.00,19.36588643187163,15.935757093996946,0.10762367039237897,37.61658031088083,41.45077720207254,"Software Developers, Systems Software",48.440098,98.599998,0.21563178692020205,0.19664967078260237
