occ_code_onet,aei_usage
19-2041.02,0.0062651750756956
19-2041.03,0.0601867638419284
19-2042.00,0.0812418604077907
19-2043.00,0.1489262927829289
19-2099.01,0.017973862922077498
19-3011.00,0.1620728896630771
19-3011.01,0.0722035750526886
19-3022.00,0.180868414890164
19-3031.01,0.0463212124448969
19-3031.02,0.3804296472192891
19-3031.03,0.0726144062051934
19-3032.00,0.2520449120615913
19-3039.01,0.0123249345751387
19-3041.00,0.1377311438771776
19-3051.00,0.0470401669617801
19-3091.01,0.3276378441224435
19-3091.02,0.1686461881031511
19-3092.00,0.1019888336092747
19-3093.00,0.4607471375339441
19-3094.00,0.35670414816214663
19-3099.01,0.0582353158675312
19-4011.01,0.0386181283354353
19-4011.02,0.131363261013356
19-4021.00,0.1567320846805169
19-4031.00,0.17747905788200072
19-4041.01,0.0115032722701295
19-4041.02,0.0258823626077916
19-4051.01,0.0164332461001852
19-4051.02,0.0082166230500925
19-4061.00,0.27197022295806594
19-4061.01,0.0764145943658614
19-4091.00,0.0460130890805186
19-4092.00,0.004621850465677
19-4093.00,0.0956209507454531
19-4099.01,0.02084968098961
19-4099.02,0.0100653632363634
19-4099.03,0.0818581071365478
21-1011.00,0.057054176304080405
21-1012.00,0.4411138102065711
21-1013.00,0.10116717130426531
21-1014.00,0.4529926995304196
21-1015.00,0.0023622791269016
21-1021.00,0.0073949607450832
21-1022.00,0.0252661158790347
21-1023.00,0.0289635962515765
21-1091.00,0.0466293358092756
21-1093.00,0.0114005644820033
21-1094.00,0.0122222267870126
21-2011.00,0.9705885977921929
21-2021.00,0.0562838678931344
23-1011.00,0.1159570927944322
23-1012.00,0.061624672875694494
23-1021.00,0.196377290897214
23-1022.00,0.1120541968456381
23-1023.00,0.0360504336322812
23-2011.00,0.051867433003709704
23-2091.00,0.06737630901075961
23-2093.00,0.0567974068337652
25-1011.00,0.030097843063287128
25-1021.00,0.03989984167861612
25-1022.00,0.08361311342187751
25-1031.00,0.02710983201092328
25-1032.00,0.053986370437979596
25-1041.00,0.02826896276263278
25-1042.00,0.3700283496631196
25-1043.00,0.09517600343109194
25-1051.00,0.06000566929361554
25-1052.00,0.029706413279487705
25-1053.00,0.04798885808285508
25-1054.00,0.11587870603424556
25-1061.00,0.08766673885728737
25-1062.00,0.04397194046959323
25-1063.00,0.033892496326793115
25-1064.00,0.037692684487460916
25-1065.00,0.04169828822438111
